tweet_number,variant,scheduled_at,posted_at,tweet_id,tweet_url,hook_text,topic,content_type,is_thread,has_image,likes,replies,reposts,bookmarks,status
20,B,2026-06-20T09:00:00,2026-06-20T09:03:00,sample-020,https://x.com/example/status/sample-020,Statistical testing makes content decisions less noisy,statistics,single,false,false,7,2,1,0,sample
21,A,2026-06-21T09:00:00,2026-06-21T09:03:00,sample-021,https://x.com/example/status/sample-021,What if creators published like scientists,experimentation,single,false,true,2,1,0,0,sample
22,B,2026-06-22T09:00:00,2026-06-22T09:03:00,sample-022,https://x.com/example/status/sample-022,Scientific posting beats random posting over time,experimentation,single,false,true,7,2,2,1,sample
23,A,2026-06-23T09:00:00,2026-06-23T09:03:00,sample-023,https://x.com/example/status/sample-023,What if engagement was treated as a metric not a mood,analytics,single,false,false,2,0,0,1,sample
24,B,2026-06-24T09:00:00,2026-06-24T09:03:00,sample-024,https://x.com/example/status/sample-024,A tweet experiment needs one primary metric,analytics,single,false,false,5,0,1,1,sample
25,A,2026-06-25T09:00:00,2026-06-25T09:03:00,sample-025,https://x.com/example/status/sample-025,Which tweet style earns more meaningful engagement,copywriting,single,false,false,3,0,1,0,sample
26,B,2026-06-26T09:00:00,2026-06-26T09:03:00,sample-026,https://x.com/example/status/sample-026,Question hooks are only useful when tested against a baseline,copywriting,single,false,false,6,1,1,1,sample
27,A,2026-06-27T09:00:00,2026-06-27T09:03:00,sample-027,https://x.com/example/status/sample-027,Can a tweet schedule reduce experiment bias,experimentation,single,false,true,3,0,1,0,sample
28,B,2026-06-28T09:00:00,2026-06-28T09:03:00,sample-028,https://x.com/example/status/sample-028,Random assignment makes creator experiments more honest,experimentation,single,false,true,5,2,1,0,sample
29,A,2026-06-29T09:00:00,2026-06-29T09:03:00,sample-029,https://x.com/example/status/sample-029,What would your audience teach you if you tested consistently,creator_growth,single,false,false,4,1,0,1,sample
30,B,2026-06-30T09:00:00,2026-06-30T09:03:00,sample-030,https://x.com/example/status/sample-030,The best content strategy compounds through measured learning,creator_growth,single,false,false,8,2,2,1,sample
31,A,2026-07-01T09:00:00,2026-07-01T09:03:00,sample-031,https://x.com/example/status/sample-031,How can creators make content decisions less noisy,analytics,single,false,true,3,1,0,0,sample
32,B,2026-07-02T09:00:00,2026-07-02T09:03:00,sample-032,https://x.com/example/status/sample-032,The goal is not virality but repeatable learning,analytics,single,false,true,7,2,1,0,sample
33,A,2026-07-03T09:00:00,2026-07-03T09:03:00,sample-033,https://x.com/example/status/sample-033,What if your next 34 tweets were an experiment,statistics,single,false,false,5,1,1,1,sample
34,B,2026-07-04T09:00:00,2026-07-04T09:03:00,sample-034,https://x.com/example/status/sample-034,A good experiment makes even a loss useful,statistics,single,false,false,7,2,1,0,sample
